 D lon lat flux5 flux8 X Y Z MirX MirY MirZ TI objid r delta alpha D_NEATM D_true model eta etafit
76 1.0 287.6252957385311 -48.64297385839932 47045.0 252956.0 1.1095065382744886 -0.2532311796968003 -0.07311163124877755 0.18662167071602567 0.050525658206721134 0.05795292180192941 0 1 1.1403841894152733 0.20183912223214723 34.35306308708499 0.99 1 NEATM 0.995 1
77 1.0 12.230603384218375 29.18637458446385 47096.0 253158.0 1.1095065382744886 -0.2532311796968003 -0.07311163124877755 0.18662167071602567 0.050525658206721134 0.05795292180192941 0 1 1.1403841894152733 0.20183912223214723 34.35306308708499 0.991 1 NEATM 0.995 1
78 1.0 270.14230170636796 -80.12513060858456 47024.0 252932.0 1.1095065382744886 -0.2532311796968003 -0.07311163124877755 0.18662167071602567 0.050525658206721134 0.05795292180192941 0 1 1.1403841894152733 0.20183912223214723 34.35306308708499 0.991 1 NEATM 0.996 1
79 1.0 340.93985618713145 60.96854526399943 47132.0 253267.00000000003 1.1095065382744886 -0.2532311796968003 -0.07311163124877755 0.18662167071602567 0.050525658206721134 0.05795292180192941 0 1 1.1403841894152733 0.20183912223214723 34.35306308708499 0.991 1 NEATM 0.994 1
80 1.0 283.86226661390754 54.18877264300852 47043.0 252975.99999999997 1.1095065382744886 -0.2532311796968003 -0.07311163124877755 0.18662167071602567 0.050525658206721134 0.05795292180192941 0 1 1.1403841894152733 0.20183912223214723 34.35306308708499 0.991 1 NEATM 0.995 1
81 1.0 101.62998606297032 61.73080586220337 47015.0 252917.99999999997 1.1095065382744886 -0.2532311796968003 -0.07311163124877755 0.18662167071602567 0.050525658206721134 0.05795292180192941 0 1 1.1403841894152733 0.20183912223214723 34.35306308708499 0.991 1 NEATM 0.996 1
82 1.0 105.04117305884611 -14.511170753360574 47080.0 253096.0 1.1095065382744886 -0.2532311796968003 -0.07311163124877755 0.18662167071602567 0.050525658206721134 0.05795292180192941 0 1 1.1403841894152733 0.20183912223214723 34.35306308708499 0.991 1 NEATM 0.995 1
83 1.0 320.46060343288394 -4.223880007159011 47121.0 253195.0 1.1095065382744886 -0.2532311796968003 -0.07311163124877755 0.18662167071602567 0.050525658206721134 0.05795292180192941 0 1 1.1403841894152733 0.20183912223214723 34.35306308708499 0.99 1 NEATM 0.994 1
84 1.0 159.9839598034521 -72.92226256078897 47058.0 253044.0 1.1095065382744886 -0.2532311796968003 -0.07311163124877755 0.18662167071602567 0.050525658206721134 0.05795292180192941 0 1 1.1403841894152733 0.20183912223214723 34.35306308708499 0.991 1 NEATM 0.995 1
85 1.0 165.48562147730314 61.55405439472048 47098.0 253123.0 1.1095065382744886 -0.2532311796968003 -0.07311163124877755 0.18662167071602567 0.050525658206721134 0.05795292180192941 0 1 1.1403841894152733 0.20183912223214723 34.35306308708499 0.99 1 NEATM 0.994 1
86 1.0 95.09730229161784 -53.642703908219254 47057.0 253112.0 1.1095065382744886 -0.2532311796968003 -0.07311163124877755 0.18662167071602567 0.050525658206721134 0.05795292180192941 0 1 1.1403841894152733 0.20183912223214723 34.35306308708499 0.991 1 NEATM 0.996 1
87 1.0 320.003735534485 3.9917328562337815 47125.0 253290.00000000003 1.1095065382744886 -0.2532311796968003 -0.07311163124877755 0.18662167071602567 0.050525658206721134 0.05795292180192941 0 1 1.1403841894152733 0.20183912223214723 34.35306308708499 0.991 1 NEATM 0.995 1
88 1.0 212.894964104373 -0.06681961832020988 47126.0 253208.0 1.1095065382744886 -0.2532311796968003 -0.07311163124877755 0.18662167071602567 0.050525658206721134 0.05795292180192941 0 1 1.1403841894152733 0.20183912223214723 34.35306308708499 0.99 1 NEATM 0.994 1
89 1.0 123.12768032286955 -2.9332446332111033 47112.0 253050.0 1.1095065382744886 -0.2532311796968003 -0.07311163124877755 0.18662167071602567 0.050525658206721134 0.05795292180192941 0 1 1.1403841894152733 0.20183912223214723 34.35306308708499 0.99 1 NEATM 0.994 1
90 1.0 107.24581480445342 -10.303649245655052 47093.0 253145.0 1.1095065382744886 -0.2532311796968003 -0.07311163124877755 0.18662167071602567 0.050525658206721134 0.05795292180192941 0 1 1.1403841894152733 0.20183912223214723 34.35306308708499 0.991 1 NEATM 0.995 1
91 1.0 218.23850289320686 39.35621000592701 47109.0 253107.00000000003 1.1095065382744886 -0.2532311796968003 -0.07311163124877755 0.18662167071602567 0.050525658206721134 0.05795292180192941 0 1 1.1403841894152733 0.20183912223214723 34.35306308708499 0.99 1 NEATM 0.994 1
92 1.0 208.34562994338805 10.734570771640733 47111.0 253170.99999999997 1.1095065382744886 -0.2532311796968003 -0.07311163124877755 0.18662167071602567 0.050525658206721134 0.05795292180192941 0 1 1.1403841894152733 0.20183912223214723 34.35306308708499 0.99 1 NEATM 0.994 1
93 1.0 65.99323513766254 -76.80477337717173 47036.0 253096.0 1.1095065382744886 -0.2532311796968003 -0.07311163124877755 0.18662167071602567 0.050525658206721134 0.05795292180192941 0 1 1.1403841894152733 0.20183912223214723 34.35306308708499 0.991 1 NEATM 0.996 1
94 1.0 71.83278613563115 -23.363060264761998 47042.0 253014.00000000003 1.1095065382744886 -0.2532311796968003 -0.07311163124877755 0.18662167071602567 0.050525658206721134 0.05795292180192941 0 1 1.1403841894152733 0.20183912223214723 34.35306308708499 0.991 1 NEATM 0.996 1
