 D lon lat flux5 flux8 X Y Z MirX MirY MirZ TI objid r delta alpha D_model D_true model eta etafit
70 1.0 351.5254074048225 35.931969765093015 6018.0 33735.0 0.7362631968424374 -0.3542824961102426 -0.1890174748526363 -0.1866216707160256 -0.0505256582067211 -0.0579529218019294 0 1 0.8386460444516607 0.20183912223214714 129.88632506801548 0.459 1 FRM 1.0 0
71 1.0 168.71443259317255 -31.010327719718596 6024.0 33736.0 0.7362631968424374 -0.3542824961102426 -0.1890174748526363 -0.1866216707160256 -0.0505256582067211 -0.0579529218019294 0 1 0.8386460444516607 0.20183912223214714 129.88632506801548 0.459 1 FRM 1.0 0
72 1.0 351.6339917485214 46.22015569264005 6050.0 33795.0 0.7362631968424374 -0.3542824961102426 -0.1890174748526363 -0.1866216707160256 -0.0505256582067211 -0.0579529218019294 0 1 0.8386460444516607 0.20183912223214714 129.88632506801548 0.459 1 FRM 1.0 0
73 1.0 217.74438710821656 24.49098998048544 5989.0 33671.0 0.7362631968424374 -0.3542824961102426 -0.1890174748526363 -0.1866216707160256 -0.0505256582067211 -0.0579529218019294 0 1 0.8386460444516607 0.20183912223214714 129.88632506801548 0.458 1 FRM 1.0 0
74 1.0 266.1348885833886 -46.79635079165228 6034.0 33708.0 0.7362631968424374 -0.3542824961102426 -0.1890174748526363 -0.1866216707160256 -0.0505256582067211 -0.0579529218019294 0 1 0.8386460444516607 0.20183912223214714 129.88632506801548 0.459 1 FRM 1.0 0
75 1.0 14.107605211555445 -61.10301195265384 6104.0 34067.0 0.7362631968424374 -0.3542824961102426 -0.1890174748526363 -0.1866216707160256 -0.0505256582067211 -0.0579529218019294 0 1 0.8386460444516607 0.20183912223214714 129.88632506801548 0.46 1 FRM 1.0 0
76 1.0 101.81050652750744 53.35046541311971 6076.0 33832.0 0.7362631968424374 -0.3542824961102426 -0.1890174748526363 -0.1866216707160256 -0.0505256582067211 -0.0579529218019294 0 1 0.8386460444516607 0.20183912223214714 129.88632506801548 0.459 1 FRM 1.0 0
77 1.0 43.270762036740805 82.64998854634004 6098.0 34051.0 0.7362631968424374 -0.3542824961102426 -0.1890174748526363 -0.1866216707160256 -0.0505256582067211 -0.0579529218019294 0 1 0.8386460444516607 0.20183912223214714 129.88632506801548 0.46 1 FRM 1.0 0
78 1.0 106.61047110797216 -7.535011093192281 6126.0 34192.0 0.7362631968424374 -0.3542824961102426 -0.1890174748526363 -0.1866216707160256 -0.0505256582067211 -0.0579529218019294 0 1 0.8386460444516607 0.20183912223214714 129.88632506801548 0.461 1 FRM 1.0 0
79 1.0 42.74197882352786 16.377149758263286 6159.0 34267.0 0.7362631968424374 -0.3542824961102426 -0.1890174748526363 -0.1866216707160256 -0.0505256582067211 -0.0579529218019294 0 1 0.8386460444516607 0.20183912223214714 129.88632506801548 0.461 1 FRM 1.0 0
80 1.0 114.47394458183138 64.39007595483983 6080.0 33951.0 0.7362631968424374 -0.3542824961102426 -0.1890174748526363 -0.1866216707160256 -0.0505256582067211 -0.0579529218019294 0 1 0.8386460444516607 0.20183912223214714 129.88632506801548 0.46 1 FRM 1.0 0
81 1.0 149.13467802528118 -7.699778396305732 6009.0 33566.0 0.7362631968424374 -0.3542824961102426 -0.1890174748526363 -0.1866216707160256 -0.0505256582067211 -0.0579529218019294 0 1 0.8386460444516607 0.20183912223214714 129.88632506801548 0.458 1 FRM 1.0 0
82 1.0 23.09309868556237 81.3374058298925 6078.0 34035.0 0.7362631968424374 -0.3542824961102426 -0.1890174748526363 -0.1866216707160256 -0.0505256582067211 -0.0579529218019294 0 1 0.8386460444516607 0.20183912223214714 129.88632506801548 0.46 1 FRM 1.0 0
83 1.0 249.2899629732071 13.63520916807704 6113.0 34022.0 0.7362631968424374 -0.3542824961102426 -0.1890174748526363 -0.1866216707160256 -0.0505256582067211 -0.0579529218019294 0 1 0.8386460444516607 0.20183912223214714 129.88632506801548 0.46 1 FRM 1.0 0
84 1.0 203.97652351436705 57.738081726236686 6091.0 34028.0 0.7362631968424374 -0.3542824961102426 -0.1890174748526363 -0.1866216707160256 -0.0505256582067211 -0.0579529218019294 0 1 0.8386460444516607 0.20183912223214714 129.88632506801548 0.46 1 FRM 1.0 0
85 1.0 95.54021673820034 73.5918693142929 6050.0 33780.0 0.7362631968424374 -0.3542824961102426 -0.1890174748526363 -0.1866216707160256 -0.0505256582067211 -0.0579529218019294 0 1 0.8386460444516607 0.20183912223214714 129.88632506801548 0.459 1 FRM 1.0 0
86 1.0 188.36929924801188 56.7942873783424 6083.0 33967.0 0.7362631968424374 -0.3542824961102426 -0.1890174748526363 -0.1866216707160256 -0.0505256582067211 -0.0579529218019294 0 1 0.8386460444516607 0.20183912223214714 129.88632506801548 0.46 1 FRM 1.0 0
87 1.0 33.818583873039 -61.30539657918793 6076.0 33995.0 0.7362631968424374 -0.3542824961102426 -0.1890174748526363 -0.1866216707160256 -0.0505256582067211 -0.0579529218019294 0 1 0.8386460444516607 0.20183912223214714 129.88632506801548 0.46 1 FRM 1.0 0
88 1.0 207.34073840022455 23.201719031106062 6019.0 33724.0 0.7362631968424374 -0.3542824961102426 -0.1890174748526363 -0.1866216707160256 -0.0505256582067211 -0.0579529218019294 0 1 0.8386460444516607 0.20183912223214714 129.88632506801548 0.459 1 FRM 1.0 0
89 1.0 334.5466311274371 -18.28183344845813 6126.0 34001.0 0.7362631968424374 -0.3542824961102426 -0.1890174748526363 -0.1866216707160256 -0.0505256582067211 -0.0579529218019294 0 1 0.8386460444516607 0.20183912223214714 129.88632506801548 0.46 1 FRM 1.0 0
90 1.0 114.68482288247652 -78.71166863579778 6100.0 34034.0 0.7362631968424374 -0.3542824961102426 -0.1890174748526363 -0.1866216707160256 -0.0505256582067211 -0.0579529218019294 0 1 0.8386460444516607 0.20183912223214714 129.88632506801548 0.46 1 FRM 1.0 0
91 1.0 240.2677367869254 -13.674194659828444 6089.0 33991.0 0.7362631968424374 -0.3542824961102426 -0.1890174748526363 -0.1866216707160256 -0.0505256582067211 -0.0579529218019294 0 1 0.8386460444516607 0.20183912223214714 129.88632506801548 0.46 1 FRM 1.0 0
92 1.0 47.447230465581185 -43.436867959906614 6005.0 33638.0 0.7362631968424374 -0.3542824961102426 -0.1890174748526363 -0.1866216707160256 -0.0505256582067211 -0.0579529218019294 0 1 0.8386460444516607 0.20183912223214714 129.88632506801548 0.458 1 FRM 1.0 0
93 1.0 257.8777934826836 62.82689551713193 6054.0 34002.0 0.7362631968424374 -0.3542824961102426 -0.1890174748526363 -0.1866216707160256 -0.0505256582067211 -0.0579529218019294 0 1 0.8386460444516607 0.20183912223214714 129.88632506801548 0.46 1 FRM 1.0 0
94 1.0 104.1861934609924 -84.00516722159469 6067.0 33920.0 0.7362631968424374 -0.3542824961102426 -0.1890174748526363 -0.1866216707160256 -0.0505256582067211 -0.0579529218019294 0 1 0.8386460444516607 0.20183912223214714 129.88632506801548 0.46 1 FRM 1.0 0
95 1.0 65.94889032256206 82.61688993542523 6062.0 33873.0 0.7362631968424374 -0.3542824961102426 -0.1890174748526363 -0.1866216707160256 -0.0505256582067211 -0.0579529218019294 0 1 0.8386460444516607 0.20183912223214714 129.88632506801548 0.459 1 FRM 1.0 0
96 1.0 211.14465653162995 -26.033607275052667 6148.0 34364.0 0.7362631968424374 -0.3542824961102426 -0.1890174748526363 -0.1866216707160256 -0.0505256582067211 -0.0579529218019294 0 1 0.8386460444516607 0.20183912223214714 129.88632506801548 0.462 1 FRM 1.0 0
