 D lon lat flux5 flux8 X Y Z MirX MirY MirZ TI objid r delta alpha D_NEATM D_true model eta etafit
55 1.0 318.12968588312947 -42.15264612766354 6137.0 34138.0 0.7362631968424374 -0.3542824961102426 -0.18901747485263637 -0.18662167071602567 -0.050525658206721134 -0.05795292180192941 0 1 0.8386460444516607 0.20183912223214723 129.88632506801548 0.485 1 FRM 1.0 0
56 1.0 154.56680230087426 55.79411139703825 6083.0 34024.0 0.7362631968424374 -0.3542824961102426 -0.18901747485263637 -0.18662167071602567 -0.050525658206721134 -0.05795292180192941 0 1 0.8386460444516607 0.20183912223214723 129.88632506801548 0.484 1 FRM 1.0 0
57 1.0 332.0565113102584 50.87416779336144 5992.0 33756.0 0.7362631968424374 -0.3542824961102426 -0.18901747485263637 -0.18662167071602567 -0.050525658206721134 -0.05795292180192941 0 1 0.8386460444516607 0.20183912223214723 129.88632506801548 0.483 1 FRM 1.0 0
58 1.0 325.4707652126637 55.14449081067568 6067.0 33950.0 0.7362631968424374 -0.3542824961102426 -0.18901747485263637 -0.18662167071602567 -0.050525658206721134 -0.05795292180192941 0 1 0.8386460444516607 0.20183912223214723 129.88632506801548 0.484 1 FRM 1.0 0
59 1.0 191.89678063466695 -60.34231759891452 6113.0 34211.0 0.7362631968424374 -0.3542824961102426 -0.18901747485263637 -0.18662167071602567 -0.050525658206721134 -0.05795292180192941 0 1 0.8386460444516607 0.20183912223214723 129.88632506801548 0.485 1 FRM 1.0 0
60 1.0 223.75776547754316 -11.895685469849852 6142.0 34111.0 0.7362631968424374 -0.3542824961102426 -0.18901747485263637 -0.18662167071602567 -0.050525658206721134 -0.05795292180192941 0 1 0.8386460444516607 0.20183912223214723 129.88632506801548 0.485 1 FRM 1.0 0
61 1.0 66.93043449708837 -53.320915889256504 6135.0 34272.0 0.7362631968424374 -0.3542824961102426 -0.18901747485263637 -0.18662167071602567 -0.050525658206721134 -0.05795292180192941 0 1 0.8386460444516607 0.20183912223214723 129.88632506801548 0.486 1 FRM 1.0 0
62 1.0 294.8732342857512 -18.265008768112665 6072.0 34106.0 0.7362631968424374 -0.3542824961102426 -0.18901747485263637 -0.18662167071602567 -0.050525658206721134 -0.05795292180192941 0 1 0.8386460444516607 0.20183912223214723 129.88632506801548 0.485 1 FRM 1.0 0
63 1.0 179.62446820618692 66.6836052867198 6085.0 33944.0 0.7362631968424374 -0.3542824961102426 -0.18901747485263637 -0.18662167071602567 -0.050525658206721134 -0.05795292180192941 0 1 0.8386460444516607 0.20183912223214723 129.88632506801548 0.484 1 FRM 1.0 0
64 1.0 101.66176074250336 -55.60225566926661 5977.0 33663.0 0.7362631968424374 -0.3542824961102426 -0.18901747485263637 -0.18662167071602567 -0.050525658206721134 -0.05795292180192941 0 1 0.8386460444516607 0.20183912223214723 129.88632506801548 0.482 1 FRM 1.0 0
65 1.0 264.19136902245896 -4.897926100278411 6088.0 33902.0 0.7362631968424374 -0.3542824961102426 -0.18901747485263637 -0.18662167071602567 -0.050525658206721134 -0.05795292180192941 0 1 0.8386460444516607 0.20183912223214723 129.88632506801548 0.484 1 FRM 1.0 0
66 1.0 132.11110679383395 34.00286800016579 6074.0 33926.0 0.7362631968424374 -0.3542824961102426 -0.18901747485263637 -0.18662167071602567 -0.050525658206721134 -0.05795292180192941 0 1 0.8386460444516607 0.20183912223214723 129.88632506801548 0.484 1 FRM 1.0 0
67 1.0 53.18096963545704 -11.202951460402247 6103.0 34044.0 0.7362631968424374 -0.3542824961102426 -0.18901747485263637 -0.18662167071602567 -0.050525658206721134 -0.05795292180192941 0 1 0.8386460444516607 0.20183912223214723 129.88632506801548 0.485 1 FRM 1.0 0
68 1.0 353.12563573507714 24.807170846420462 5993.0 33793.0 0.7362631968424374 -0.3542824961102426 -0.18901747485263637 -0.18662167071602567 -0.050525658206721134 -0.05795292180192941 0 1 0.8386460444516607 0.20183912223214723 129.88632506801548 0.483 1 FRM 1.0 0
69 1.0 45.90105806265943 2.99471164169114 6069.0 33866.0 0.7362631968424374 -0.3542824961102426 -0.18901747485263637 -0.18662167071602567 -0.050525658206721134 -0.05795292180192941 0 1 0.8386460444516607 0.20183912223214723 129.88632506801548 0.484 1 FRM 1.0 0
70 1.0 46.59309213775859 -82.22888387600882 6081.0 34061.0 0.7362631968424374 -0.3542824961102426 -0.18901747485263637 -0.18662167071602567 -0.050525658206721134 -0.05795292180192941 0 1 0.8386460444516607 0.20183912223214723 129.88632506801548 0.485 1 FRM 1.0 0
71 1.0 359.06613495483293 26.881357110969745 6060.0 33861.0 0.7362631968424374 -0.3542824961102426 -0.18901747485263637 -0.18662167071602567 -0.050525658206721134 -0.05795292180192941 0 1 0.8386460444516607 0.20183912223214723 129.88632506801548 0.484 1 FRM 1.0 0
72 1.0 183.53165750934363 -48.033903671876615 6080.0 34087.0 0.7362631968424374 -0.3542824961102426 -0.18901747485263637 -0.18662167071602567 -0.050525658206721134 -0.05795292180192941 0 1 0.8386460444516607 0.20183912223214723 129.88632506801548 0.485 1 FRM 1.0 0
73 1.0 309.41013774915905 89.95448751242202 6109.0 34021.0 0.7362631968424374 -0.3542824961102426 -0.18901747485263637 -0.18662167071602567 -0.050525658206721134 -0.05795292180192941 0 1 0.8386460444516607 0.20183912223214723 129.88632506801548 0.485 1 FRM 1.0 0
74 1.0 90.68650870258095 13.148737059655588 5970.0 33526.0 0.7362631968424374 -0.3542824961102426 -0.18901747485263637 -0.18662167071602567 -0.050525658206721134 -0.05795292180192941 0 1 0.8386460444516607 0.20183912223214723 129.88632506801548 0.482 1 FRM 1.0 0
75 1.0 194.82171854653018 77.97729109214717 6051.0 33726.0 0.7362631968424374 -0.3542824961102426 -0.18901747485263637 -0.18662167071602567 -0.050525658206721134 -0.05795292180192941 0 1 0.8386460444516607 0.20183912223214723 129.88632506801548 0.483 1 FRM 1.0 0
76 1.0 270.6591261849216 46.42690043216277 6050.0 33796.0 0.7362631968424374 -0.3542824961102426 -0.18901747485263637 -0.18662167071602567 -0.050525658206721134 -0.05795292180192941 0 1 0.8386460444516607 0.20183912223214723 129.88632506801548 0.483 1 FRM 1.0 0
77 1.0 354.4468311476672 -70.62778422408044 5896.0 33304.0 0.7362631968424374 -0.3542824961102426 -0.18901747485263637 -0.18662167071602567 -0.050525658206721134 -0.05795292180192941 0 1 0.8386460444516607 0.20183912223214723 129.88632506801548 0.48 1 FRM 1.0 0
78 1.0 326.01977884314465 -55.579265719075245 6076.0 33907.0 0.7362631968424374 -0.3542824961102426 -0.18901747485263637 -0.18662167071602567 -0.050525658206721134 -0.05795292180192941 0 1 0.8386460444516607 0.20183912223214723 129.88632506801548 0.484 1 FRM 1.0 0
79 1.0 286.8945256122155 -53.652088466169054 6058.0 33783.0 0.7362631968424374 -0.3542824961102426 -0.18901747485263637 -0.18662167071602567 -0.050525658206721134 -0.05795292180192941 0 1 0.8386460444516607 0.20183912223214723 129.88632506801548 0.483 1 FRM 1.0 0
80 1.0 94.0828656693363 -56.05028256249959 6146.0 34262.0 0.7362631968424374 -0.3542824961102426 -0.18901747485263637 -0.18662167071602567 -0.050525658206721134 -0.05795292180192941 0 1 0.8386460444516607 0.20183912223214723 129.88632506801548 0.486 1 FRM 1.0 0
81 1.0 176.4545959187328 48.91990066623501 6093.0 34084.0 0.7362631968424374 -0.3542824961102426 -0.18901747485263637 -0.18662167071602567 -0.050525658206721134 -0.05795292180192941 0 1 0.8386460444516607 0.20183912223214723 129.88632506801548 0.485 1 FRM 1.0 0
82 1.0 256.3005994447241 21.859073228288025 6080.0 33975.0 0.7362631968424374 -0.3542824961102426 -0.18901747485263637 -0.18662167071602567 -0.050525658206721134 -0.05795292180192941 0 1 0.8386460444516607 0.20183912223214723 129.88632506801548 0.484 1 FRM 1.0 0
